258,0,0,False,0
259,0,1,False,0
260,0,0,False,0
261,0,0,False,0
262,0,0,False,0
263,0,0,False,0
264,0,0,False,0
265,0,0,False,0
266,0,0,False,0
267,0,0,False,0
268,0,0,False,0
269,0,0,False,0
270,0,0,False,0
271,0,0,False,0
272,0,0,False,0
273,0,0,False,0
274,0,0,False,0
275,0,0,False,0
276,0,0,False,0
277,0,0,False,0
278,0,0,False,0
279,0,0,False,0
280,0,0,False,0
281,0,0,False,0
282,0,0,False,0
283,0,0,False,0
284,0,0,False,0
285,0,0,False,0
286,0,0,False,0
287,0,0,False,0
288,0,0,False,0
289,0,0,False,0
290,0,0,False,0
291,0,0,False,0
292,0,0,False,0
293,0,0,False,0
294,0,0,False,0
295,0,0,False,0
296,0,0,False,0
297,0,0,False,0
298,0,0,False,0
299,0,0,False,0
300,0,0,False,0
301,0,0,False,0
302,0,0,False,0
303,0,0,False,0
304,0,0,False,0
305,0,0,False,0
306,0,0,False,0
307,0,0,False,0
308,0,0,False,0
309,0,0,False,0
310,0,0,False,0
311,0,0,False,0
312,0,0,False,0
313,0,0,False,0
314,0,0,False,0
315,0,0,False,0
316,0,0,False,0
317,0,0,False,0
318,0,0,False,0
319,0,0,False,0
320,0,0,False,0
321,0,0,False,0
322,0,0,False,0
323,0,0,False,0
324,0,0,False,0
325,0,0,False,0
326,0,0,False,0
327,0,0,False,0
328,0,0,False,0
329,0,0,False,0
330,0,0,False,0
331,0,0,False,0
332,0,0,False,0
333,0,0,False,0
334,0,0,False,0
335,0,0,False,0
336,0,0,False,0
337,0,0,False,0
338,0,0,False,0
339,0,0,False,0
340,0,0,False,0
341,0,0,False,0
342,0,0,False,0
343,0,0,False,0
344,0,0,False,0
345,0,0,False,0
346,0,0,False,0
347,0,0,False,0
348,0,0,False,0
349,0,0,False,0
